0	35	99	13	43	93	80	69	37	80	5	21	70	30	54	69	83	41	3	35	46	39	44	93	5	38	60	72	42	45	71	68	69	89	62	61	45	6	45	73	41	38	25	53	37	42	51	39	84	20	23	45	7	12	74	23	99	67	27	14	25	61	69	41	33	48	59	38	40	99	28	68	13	58	96	98	61	66	25	67	81	24	49	68	46	45	71	13	3	24	91	60	72	3	34	76	90	88	29	42
35	0	54	85	84	77	71	47	1	2	49	26	71	65	99	69	87	83	8	65	51	10	84	36	15	45	96	25	7	39	25	10	43	19	24	61	63	79	23	95	44	7	40	86	41	9	7	79	78	67	79	79	25	66	37	67	30	53	92	82	4	98	13	90	75	21	72	32	28	54	34	2	79	63	94	6	14	95	78	80	34	82	53	35	48	29	9	31	40	89	82	32	59	40	94	59	12	98	9	60
99	54	0	52	3	16	38	92	50	59	66	21	40	87	54	39	4	73	76	54	91	38	10	41	47	38	91	46	97	32	56	90	8	29	83	23	65	22	42	16	33	97	22	55	6	24	55	93	90	2	78	15	47	79	93	32	5	85	13	45	9	34	8	72	23	49	60	20	96	32	11	53	81	17	74	29	84	80	17	25	30	24	54	43	88	28	6	63	33	29	93	98	83	38	72	49	44	40	96	85
13	85	52	0	96	89	50	25	40	35	38	65	27	87	83	99	48	35	93	79	52	18	6	13	55	9	27	21	64	78	44	36	27	71	13	97	13	82	70	65	3	11	64	11	46	55	28	60	60	92	42	16	65	18	63	67	54	50	27	76	65	37	93	42	76	54	17	38	13	51	12	66	14	29	8	15	70	64	35	25	65	41	52	17	72	24	11	37	78	35	97	10	58	91	95	99	28	94	87	33
43	84	3	96	0	47	1	56	26	16	16	18	97	65	25	39	43	54	14	14	28	93	6	51	21	42	69	40	68	70	49	75	17	47	81	94	23	41	27	49	49	24	87	6	11	69	62	47	36	26	45	74	60	96	16	74	49	54	81	7	11	24	8	14	2	52	6	20	76	42	59	41	8	81	64	66	54	47	19	27	93	14	28	29	42	16	63	91	17	39	44	1	23	32	18	6	63	30	73	45
93	77	16	89	47	0	3	11	16	7	87	40	80	99	54	46	90	5	90	35	27	48	78	47	56	38	56	64	1	97	74	67	47	14	65	7	75	20	86	58	27	13	26	75	63	64	82	77	46	68	57	74	59	8	83	63	86	15	49	17	72	24	83	82	43	66	58	70	67	94	88	15	4	18	54	68	51	22	77	46	4	21	89	40	31	35	94	99	25	6	37	84	80	80	58	34	15	13	59	89
80	71	38	50	1	3	0	36	52	15	41	61	83	55	54	82	80	21	75	56	25	40	84	2	30	97	33	47	90	40	31	98	54	31	48	18	46	66	4	60	49	5	31	25	75	98	37	78	19	1	51	46	39	95	47	64	47	85	67	71	85	81	69	21	28	73	53	36	92	42	43	33	61	37	32	43	98	70	57	66	29	8	81	20	42	3	87	85	74	8	27	56	1	7	45	25	88	57	78	21
69	47	92	25	56	11	36	0	95	93	41	2	76	63	38	58	12	37	8	34	22	45	46	31	22	40	48	34	16	33	84	77	55	54	88	86	21	67	88	33	68	30	85	41	79	7	35	81	15	8	40	78	42	94	87	32	14	88	21	18	73	88	33	72	43	33	13	71	23	21	90	29	43	52	51	72	67	33	75	90	5	60	51	45	4	85	42	35	65	31	13	79	44	95	89	33	34	76	90	34
37	1	50	40	26	16	52	95	0	53	3	82	41	92	48	88	67	19	65	94	30	17	65	85	38	82	39	69	11	36	52	56	33	60	61	92	11	37	34	47	1	32	95	49	16	76	72	4	25	84	37	99	56	37	95	36	97	35	64	62	62	78	75	96	56	11	35	27	21	69	33	56	76	81	97	62	83	68	24	1	33	81	48	19	13	69	85	91	91	98	63	61	63	88	22	76	51	80	23	95
80	2	59	35	16	7	15	93	53	0	58	28	6	53	85	43	98	48	42	98	79	90	14	47	99	27	84	21	87	42	45	71	37	76	94	71	49	87	38	13	36	46	81	53	51	53	52	11	81	48	75	72	66	97	30	17	2	13	70	48	49	25	23	70	52	26	66	1	7	46	89	84	61	21	71	71	19	99	6	97	24	75	65	19	44	87	5	10	33	62	44	96	25	98	65	34	4	12	28	27
